scenario,team,site,nb_rescues
SCENARIO-82,TEAM-1,SITE-1,0.2
SCENARIO-82,TEAM-1,SITE-2,0.2
SCENARIO-83,TEAM-1,SITE-1,0.2
SCENARIO-83,TEAM-1,SITE-2,0.2
SCENARIO-84,TEAM-1,SITE-1,0.2
SCENARIO-84,TEAM-1,SITE-2,0.2
SCENARIO-85,TEAM-1,SITE-1,0.2
SCENARIO-85,TEAM-1,SITE-2,0.2
SCENARIO-86,TEAM-1,SITE-1,0.2
SCENARIO-86,TEAM-1,SITE-2,0.2
SCENARIO-87,TEAM-1,SITE-1,0.2
SCENARIO-87,TEAM-1,SITE-2,0.2
SCENARIO-88,TEAM-1,SITE-1,0.2
SCENARIO-88,TEAM-1,SITE-2,0.2
SCENARIO-89,TEAM-1,SITE-1,0.2
SCENARIO-89,TEAM-1,SITE-2,0.2
SCENARIO-90,TEAM-1,SITE-1,0.2
SCENARIO-90,TEAM-1,SITE-2,0.2
SCENARIO-91,TEAM-1,SITE-1,0.2
SCENARIO-91,TEAM-1,SITE-2,0.2
SCENARIO-92,TEAM-1,SITE-1,0.2
SCENARIO-92,TEAM-1,SITE-2,0.2
SCENARIO-93,TEAM-1,SITE-1,0.2
SCENARIO-93,TEAM-1,SITE-2,0.2
SCENARIO-94,TEAM-1,SITE-1,0.2
SCENARIO-94,TEAM-1,SITE-2,0.2
SCENARIO-95,TEAM-1,SITE-1,0.2
SCENARIO-95,TEAM-1,SITE-2,0.2
SCENARIO-96,TEAM-1,SITE-1,0.2
SCENARIO-96,TEAM-1,SITE-2,0.2
SCENARIO-97,TEAM-1,SITE-1,0.2
SCENARIO-97,TEAM-1,SITE-2,0.2
SCENARIO-98,TEAM-1,SITE-1,0.2
SCENARIO-98,TEAM-1,SITE-2,0.2
SCENARIO-99,TEAM-1,SITE-1,0.2
SCENARIO-99,TEAM-1,SITE-2,0.2
SCENARIO-100,TEAM-1,SITE-1,0.2
SCENARIO-100,TEAM-1,SITE-2,0.2
